iter	Logloss
0	0.4767776539
1	0.4091950855
2	0.3873415523
3	0.3739692637
4	0.3346514837
5	0.3098936158
6	0.2707869909
7	0.2632427541
8	0.2263761262
9	0.193768399
10	0.1787502247
11	0.1643243834
12	0.1556419535
13	0.1523389493
14	0.1427796351
15	0.1278896202
16	0.1264371549
17	0.1192275039
18	0.1143658781
19	0.1073978365
20	0.1039056459
21	0.1027926886
22	0.09929804253
23	0.09450331757
24	0.09049915197
25	0.08578264547
26	0.0837813587
27	0.07950726673
28	0.07806883521
29	0.07239281412
30	0.07168064967
31	0.06993495342
32	0.06677618452
33	0.06283733028
34	0.06189782171
35	0.0608573396
36	0.05812394283
37	0.055941784
38	0.05467877202
39	0.05385509669
40	0.05239952732
41	0.05026515291
42	0.04985232022
43	0.04839787633
44	0.04681750102
45	0.0454149113
46	0.04449455865
47	0.04392659367
48	0.04306815539
49	0.04217030545
50	0.0413525178
51	0.04069367616
52	0.03994423372
53	0.03889094966
54	0.03833954461
55	0.03800539077
56	0.03609269324
57	0.03523584619
58	0.03493563107
59	0.03359167016
60	0.03312735985
61	0.03237576667
62	0.03117675053
63	0.03022400648
64	0.03007488733
65	0.02901157773
66	0.02872610443
67	0.02780674963
68	0.02661474711
69	0.02534275187
70	0.02506993179
71	0.02449444134
72	0.02393302464
73	0.023603198
74	0.02318650751
75	0.02233700493
76	0.02124896637
77	0.02111128904
78	0.02097881756
79	0.02043335794
80	0.02032188862
81	0.02002461624
82	0.01996269249
83	0.01952453959
84	0.01948623654
85	0.01870865276
86	0.01855898152
87	0.01844469959
88	0.01823180218
89	0.01752303031
90	0.01749446308
91	0.01731008804
92	0.01682702422
93	0.01626219258
94	0.01609703171
95	0.01599963463
96	0.01581698949
97	0.0151355018
98	0.01509514534
99	0.01463837866
