iter	Passed	Remaining
0	55	5467
1	62	3083
2	77	2489
3	94	2267
4	111	2122
5	128	2005
6	143	1909
7	156	1798
8	167	1689
9	174	1574
10	182	1480
11	191	1402
12	199	1333
13	206	1268
14	214	1217
15	222	1167
16	229	1121
17	237	1080
18	245	1044
19	252	1011
20	261	983
21	269	955
22	277	928
23	285	904
24	296	888
25	303	863
26	310	839
27	317	817
28	324	794
29	332	776
30	339	756
31	347	738
32	355	721
33	362	704
34	369	686
35	378	672
36	386	657
37	394	643
38	402	629
39	409	614
40	417	600
41	425	586
42	433	575
43	441	562
44	449	549
45	457	537
46	465	524
47	473	513
48	480	499
49	488	488
50	496	476
51	505	466
52	513	455
53	521	444
54	529	433
55	537	422
56	544	410
57	552	399
58	559	389
59	567	378
60	575	367
61	583	357
62	590	346
63	597	336
64	605	326
65	613	316
66	620	305
67	627	295
68	636	285
69	645	276
70	653	267
71	661	257
72	669	247
73	676	237
74	685	228
75	691	218
76	700	209
77	708	199
78	716	190
79	724	181
80	731	171
81	739	162
82	746	152
83	753	143
84	761	134
85	768	125
86	778	116
87	786	107
88	792	98
89	799	88
90	807	79
91	815	70
92	822	61
93	830	53
94	838	44
95	846	35
96	854	26
97	861	17
98	869	8
99	877	0
